"","from","to","length","directed"
"1","Y_1","Y_3",0.0346729365655371,FALSE
"2","Y_3","Y_42",5.83509069550879,FALSE
"3","Y_3","Y_26",3.26114818284422,FALSE
"4","Y_17","Y_26",2.36990366278234,FALSE
"5","Y_26","Y_149",4.9616772961694,FALSE
"6","Y_42","Y_166",5.93940577502006,FALSE
"7","Y_42","Y_50",0.65218214784796,FALSE
"8","Y_184","Y_484",7.98007706926839,FALSE
"9","Y_184","Y_199",1.72846842371685,FALSE
"10","Y_95","Y_184",1.29146344653707,FALSE
"11","Y_149","Y_484",11.1941033622838,FALSE
"12","Y_149","Y_152",0.683839884146159,FALSE
"13","Y_484","Y_510",2.57344376941687,FALSE
"14","Y_228","Y_503",10.4348553888241,FALSE
"15","Y_230","Y_386",1.74274267868771,FALSE
"16","Y_228","Y_294",9.97676150739338,FALSE
"17","Y_228","Y_252",0.584383256077203,FALSE
"18","Y_230","Y_252",0.742027890154686,FALSE
"19","Y_230","Y_510",2.26217568646499,FALSE
"20","Y_245","Y_252",1.05878616176961,FALSE
"21","Y_409","Y_430",1.62527406752424,FALSE
"22","Y_363","Y_409",2.11818489942758,FALSE
"23","Y_363","Y_446",2.10305580880708,FALSE
"24","Y_363","Y_510",2.1551161201394,FALSE
"25","Y_409","Y_424",2.98900956910803,FALSE
